Image,Angry,Disgust,Fear,Happy,Sad,Surprise,Neutral
20230620135151101464_segment_3_frame_3.jpg,0.00029670330695807934,5.7414566981606185e-05,0.7731119990348816,0.001100596971809864,0.09230954945087433,0.0009822582360357046,0.13214144110679626
20230619153343475209_segment_1_frame_4.jpg,0.0006533192936331034,6.877783744130284e-05,0.0008339402847923338,0.0012729879235848784,0.11092130094766617,0.006244613789021969,0.8800050616264343
20230617142705_segment_1_frame_2.jpg,0.00011940395052079111,4.5415512431645766e-05,0.0014896038919687271,0.9921979308128357,0.0002789090503938496,0.0008877009386196733,0.004981068894267082
20230617142705_segment_1_frame_5.jpg,8.531419007340446e-05,4.046899266541004e-05,0.0012999504106119275,0.993120551109314,0.00032372522400692105,0.0006813013460487127,0.004448737483471632
20230620135151101464_segment_2_frame_5.jpg,0.00028109984123148024,6.237028719624504e-05,0.0006132417474873364,0.0018372120102867484,0.8970142602920532,0.000805085408501327,0.09938672184944153
20230620135151101464_segment_4_frame_1.jpg,0.0003784613509196788,0.0004092936869710684,0.04332447424530983,0.16461987793445587,0.3005155920982361,0.003958096262067556,0.48679426312446594
20230620135151101464_segment_3_frame_5.jpg,0.00024740915978327394,6.225523247849196e-05,0.9031792879104614,0.0015101305907592177,0.0576576292514801,0.0007827135850675404,0.03656059131026268
20230620135151101464_segment_4_frame_3.jpg,3.4256012440891936e-05,2.911209776357282e-05,0.0001240524579770863,0.9984278678894043,0.0004924077074974775,0.00015652818547096103,0.0007357645081356168
20230619153343475209_segment_1_frame_1.jpg,0.002000742359086871,0.00019039036124013364,0.0023442134261131287,0.0022666682489216328,0.019253255799412727,0.06792058795690536,0.9060242176055908
20230620135151101464_segment_4_frame_4.jpg,0.00023057396174408495,0.00026260700542479753,0.006404661573469639,0.9436765313148499,0.030724871903657913,0.0012774195056408644,0.017423292621970177
20230617142705_segment_1_frame_1.jpg,0.00011877658835146576,4.902740693069063e-05,0.0013291200157254934,0.986213207244873,0.00035808191751129925,0.0009316037758253515,0.011000104248523712
20230620135151101464_segment_4_frame_2.jpg,0.0021860413253307343,0.00015656722825951874,0.009215663187205791,0.0017408940475434065,0.1034383550286293,0.004450175445526838,0.878812313079834
20230620135151101464_segment_3_frame_4.jpg,0.0001679597917245701,1.2423111002135556e-05,0.9952978491783142,9.930998930940405e-05,0.0041138241067528725,0.00011173882376169786,0.0001969214790733531
20230620135151101464_segment_1_frame_3.jpg,0.002347978064790368,4.927692498313263e-05,0.00024106513592414558,0.001193228643387556,0.2681477963924408,0.0004712193622253835,0.7275494337081909
20230620135151101464_segment_1_frame_2.jpg,0.0009701520903035998,2.679283898032736e-05,0.0001735825790092349,0.0007759347790852189,0.2386859953403473,0.0003040261217392981,0.7590635418891907
